Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Guyana,46 ,42 , 51,51 ,46 , 56,54 ,49 , 60,59 ,53 , 65,62 ,56 , 68,65 ,59 , 71,69 ,62 , 76,71 ,64 , 79,74 ,67 , 83,79 ,72 , 88
Haiti,22 ,19 , 25,26 ,22 , 29,34 ,29 , 38,43 ,38 , 49,48 ,42 , 54,53 ,46 , 59,62 ,55 , 70,70 ,61 , 79,66 ,57 , 74,78 ,67 , 88
Honduras,41 ,34 , 48,45 ,38 , 53,48 ,41 , 57,52 ,44 , 61,53 ,45 , 62,56 ,48 , 64,56 ,48 , 66,58 ,49 , 67,58 ,49 , 67,57 ,48 , 66
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),5 ,3 , 6,6 ,4 , 9,8 ,6 , 12,11 ,7 , 17,14 ,9 , 22,17 ,11 , 29,21 ,13 , 36,24 ,15 , 45,27 ,16 , 53,29 ,16 , 60
Ireland,69 ,58 , 80,70 ,60 , 82,73 ,62 , 85,75 ,63 , 87,77 ,65 , 89,79 ,66 , 92,72 ,61 , 84,75 ,63 , 87,80 ,67 , 92,83 ,70 , >95
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,67 ,46 , >95,69 ,47 , >95,76 ,50 , >95,75 ,48 , >95,74 ,47 , >95,76 ,47 , >95,77 ,47 , >95,84 ,50 , >95,91 ,53 , >95,91 ,53 , >95
