Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper
Cuba,,,,,,,,,,,1296.9 , Nil,88.2 ,75.9 , Nil,,,,985.9 ,103.2 , Nil,676.4 ,102.6 , Nil,412.5 ,123.2 , Nil,69.8 ,60.4 , 81.5,56.7 ,48.9 , 66.4,173.5 ,147.5 , 207.2,63.0 ,54.1 , 74.4,43.2 ,37.3 , 50.6,72.7 ,62.7 , 85.1,70.9 ,61.2 , 83.2,96.0 ,67.2 , 148.4,100.0 ,70.0 , 154.5
Cyprus,,,,,,,,,,<0.1 ,<0.1 , Nil,,,,<0.1 ,<0.1 , Nil,,<0.1 , Nil,,<0.1 , Nil,,66.7 , Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,1.5 ,1.0 , 2.3,7.0 ,4.9 , 11.1,8.5 ,5.9 , 13.5,8.8 ,6.1 , 13.9,14.2 ,9.8 , 22.6,10.7 ,7.4 , 16.9,17.3 ,11.9 , 27.2,30.2 ,21.0 , 47.4,42.7 ,31.4 , 61.2,44.5 ,30.9 , 69.5,45.6 ,31.7 , 71.4,50.8 ,35.1 , 79.7,55.2 ,38.2 , 86.7
Democratic People's Republic of Korea,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,,,
Democratic Republic of the Congo,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,<0.1 ,<0.1 , <0.1,0.4 ,0.2 , 0.8,1.4 ,0.8 , 2.9,2.5 ,1.5 , 5.2,4.8 ,2.8 , 9.8,1.8 ,1.1 , 3.8,4.3 ,2.5 , 9.0,9.2 ,5.4 , 19.2,14.2 ,8.3 , 29.7,21.0 ,12.2 , 44.1,22.3 ,13.0 , 47.2,30.5 ,21.4 , 47.2,39.9 ,27.9 , 61.6
Denmark,,,,,,,,,,,,,,,,,,,,<0.1 , Nil,,<0.1 , Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,1.1 ,0.9 , 1.5,2.6 ,2.0 , 3.5,3.8 ,2.9 , 5.1,18.6 ,14.4 , 24.9,,,,11.4 ,8.7 , 15.5,10.0 ,7.8 , 13.5,4.5 ,3.5 , 6.1,6.2 ,4.3 , 9.5,13.5 ,10.5 , 17.9,7.4 ,5.8 , 10.0,46.1 ,36.2 , 60.7,69.7 ,54.8 , 91.7,54.5 ,42.8 , 71.6,38.7 ,30.4 , 51.0
Dominica,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,,<0.1 , Nil,26.8 ,22.9 , 31.7,87.0 ,74.5 , Nil,,,,,,,<0.1 ,<0.1 , <0.1,29.0 ,24.6 , 34.7,,,,,,,87.0 ,60.9 , Nil,,,
Dominican Republic,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,3.4 ,2.2 , 5.8,65.6 ,43.4 , 110.9,29.8 ,21.4 , 44.2,55.8 ,42.3 , 77.0,46.0 ,34.7 , 63.9,51.5 ,39.1 , 70.9,24.7 ,19.1 , 33.2,36.6 ,28.7 , 48.4
Ecuador,,,,,,,,,,11.1 ,7.5 , 18.2,,,,,,,,,,45.9 ,31.0 , 75.2,58.1 ,39.2 , 95.2,61.5 ,41.2 , 101.7,59.0 ,39.7 , 96.8,,,,62.0 ,42.0 , 100.7,63.9 ,44.2 , 100.4,58.4 ,40.5 , 91.6,43.4 ,30.2 , 67.7,55.0 ,38.5 , 85.0,81.7 ,64.2 , 107.6
Egypt,,,,,,,,,,12.1 ,7.8 , 21.6,,,,,,,64.0 ,41.0 , 113.9,45.4 ,29.1 , 80.6,43.0 ,27.5 , 76.4,50.0 ,32.0 , 89.2,29.5 ,18.8 , 52.7,47.0 ,30.0 , 84.1,62.2 ,39.6 , 111.6,24.2 ,15.4 , 43.4,41.3 ,26.3 , 74.2,46.5 ,29.6 , 83.4,52.2 ,36.6 , 80.7,100.0 ,70.0 , 154.5
El Salvador,,,,,,,,,,13.2 ,10.3 , 17.6,5.4 ,4.2 , 7.1,29.6 ,23.2 , 39.1,26.4 ,20.8 , 34.6,30.3 ,23.9 , 39.9,34.8 ,27.4 , 45.6,28.6 ,22.5 , 37.5,47.3 ,37.2 , 62.0,59.1 ,46.6 , 77.5,66.0 ,52.0 , 86.5,60.2 ,47.4 , 78.9,70.3 ,55.3 , 92.2,63.2 ,44.3 , 97.7,74.7 ,52.3 , 115.4,78.5 ,54.9 , 121.2
Equatorial Guinea,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,44.4 ,30.8 , 69.7,19.6 ,17.0 , 22.9,10.4 ,9.0 , 12.2,,,,41.5 ,35.3 , 49.5,36.3 ,30.6 , 43.6,29.1 ,24.8 , 34.8,4.1 ,3.5 , 4.9,32.2 ,27.3 , 38.6
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,7.4 ,4.2 , 16.3,48.1 ,27.4 , 105.6,56.1 ,39.2 , 86.6,58.6 ,41.1 , 90.6,55.7 ,39.0 , 86.1
Estonia,,,,,,,,,,10.3 ,9.0 , 11.9,,,,,,,,,,,,,31.5 ,23.8 , 43.7,55.7 ,49.0 , 63.8,40.1 ,30.7 , 54.7,64.1 ,56.3 , 73.7,65.4 ,57.3 , 75.4,61.0 ,53.8 , 69.7,54.5 ,48.0 , 62.3,74.3 ,64.0 , 87.4,86.1 ,60.3 , 133.0,70.1 ,60.4 , 82.4
Eswatini,,,,,,,,,,,,,,,,,,,2.6 ,1.8 , 4.1,9.4 ,6.4 , 15.1,17.7 ,12.0 , 28.5,18.5 ,13.2 , 27.8,22.2 ,16.9 , 30.5,33.9 ,23.4 , 53.4,46.9 ,31.8 , 76.3,48.2 ,33.2 , 76.5,51.1 ,35.4 , 80.3,68.3 ,47.9 , 105.6,66.1 ,46.3 , 102.1,70.9 ,49.6 , 109.5
