Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Eritrea,17 ,12 , 23,28 ,20 , 38,48 ,33 , 65,53 ,37 , 72,60 ,43 , 83,50 ,35 , 69,37 ,25 , 52,41 ,28 , 57,46 ,30 , 66,39 ,26 , 55
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eswatini,66 ,56 , 73,84 ,72 , 93,84 ,72 , 92,86 ,73 , >95,80 ,68 , 88,87 ,75 , >95,91 ,77 , >95,83 ,70 , 91,>95 ,82 , >95,>95 ,88 , >95
Ethiopia,26 ,18 , 34,39 ,27 , 52,61 ,43 , 82,72 ,50 , >95,74 ,51 , >95,81 ,56 , >95,73 ,51 , >95,70 ,48 , 93,87 ,61 , >95,74 ,52 , >95
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,>95 ,88 , >95,>95 ,86 , >95,>95 ,85 , >95,>95 ,83 , >95,>95 ,83 , >95,>95 ,83 , >95,>95 ,83 , >95,>95 ,81 , >95,>95 ,78 , >95,>95 ,79 , >95
Gabon,22 ,16 , 28,29 ,20 , 37,36 ,25 , 47,46 ,33 , 59,46 ,31 , 61,55 ,38 , 72,67 ,46 , 89,62 ,42 , 81,67 ,45 , 89,71 ,47 , 95
Gambia,59 ,45 , 78,79 ,62 , >95,>95 ,80 , >95,65 ,53 , 82,63 ,50 , 79,74 ,58 , 95,63 ,48 , 80,60 ,47 , 77,56 ,44 , 72,49 ,39 , 64
Georgia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
