Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
South Sudan,14 ,11 , 17,17 ,13 , 21,20 ,16 , 25,24 ,18 , 29,27 ,20 , 33
Spain,... ,... , ...,87 ,68 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Sri Lanka,21 ,18 , 25,28 ,24 , 33,35 ,30 , 41,43 ,38 , 51,51 ,45 , 60
Sudan,23 ,19 , 27,27 ,23 , 32,31 ,27 , 38,35 ,30 , 42,38 ,31 , 45
Suriname,60 ,49 , 71,61 ,50 , 72,62 ,50 , 73,61 ,49 , 72,60 ,48 , 71
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,85 ,58 , >95,87 ,59 , >95,91 ,61 , >95,93 ,61 , >95,93 ,61 , >95
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,47 ,41 , 61,51 ,44 , 65,55 ,47 , 70,61 ,52 , 78,63 ,54 , 80
Thailand,76 ,66 , 88,81 ,71 , 94,88 ,77 , >95,94 ,82 , >95,... ,... , ...
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,60 ,51 , 72,63 ,54 , 76,66 ,57 , 80,70 ,59 , 85,73 ,62 , 89
Trinidad and Tobago,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,20 ,14 , 29
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uganda,80 ,76 , 87,83 ,78 , 90,85 ,80 , 92,87 ,81 , 95,89 ,83 , >95
Ukraine,62 ,58 , 66,65 ,61 , 69,68 ,64 , 73,68 ,64 , 74,67 ,62 , 73
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Republic of Tanzania,65 ,58 , 71,71 ,64 , 76,76 ,68 , 82,80 ,72 , 87,83 ,75 , 90
United States,85 ,69 , >95,85 ,70 , >95,86 ,70 , >95,86 ,71 , >95,... ,... , ...
Uruguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uzbekistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,... ,... , ...,56 ,47 , 67,62 ,50 , 74
Viet Nam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Yemen,... ,... , ...,... ,... , ...,... ,... , ...,22 ,13 , 35,... ,... , ...
Zambia,78 ,74 , 84,81 ,76 , 87,84 ,79 , 90,87 ,82 , 93,90 ,85 , >95
Zimbabwe,80 ,70 , 92,84 ,73 , >95,87 ,76 , >95,87 ,75 , >95,90 ,78 , >95
Global,71 ,59,83,74 ,62,87,77 ,64,90,79 ,66,93,81 ,68,95
