Tunisia,119,136,173,205,273,291,336,377,441,513
Turkey,...,...,...,...,...,...,...,...,...,...
Turkmenistan,...,...,...,...,...,...,...,...,...,...
Uganda,118 195,138 655,216 373,317 659,394 703,439 119,507 408,596 012,614 034,753 595
Ukraine,9908,12 167,18 717,25 773,30 890,29 724,41 736,48 594,56 599,63 585
United Arab Emirates,...,...,...,...,...,...,...,...,...,...
United Kingdom,...,...,...,...,...,...,...,...,...,...
United Republic of Tanzania,149 073,159 705,266 667,322 855,421 937,482 183,552 437,634 353,720 638,818 658
United States,...,...,...,...,...,...,...,...,...,...
Uruguay,...,...,...,...,...,2100,2101,2434,2940,...
Uzbekistan,1649,2249,936,2279,3599,4861,6507,8472,10 683,12 078
Venezuela (Bolivarian Republic of),11 461,12 115,12 910,12 921,13 080,17 098,15 295,11 681,8932,11 626
Viet Nam,13 972,18 437,24 319,27 039,30 081,36 765,41 740,46 476,50 773,54 211
Yemen,173,224,262,328,472,498,625,739,821,943
Zambia,197 551,239 531,258 482,305 084,372 947,434 638,460 932,506 170,575 453,639 498
Zimbabwe,211 144,296 112,340 774,373 190,449 574,490 731,544 747,616 712,593 027,677 167
Global,3 900 000,4 900 000,6 000 000,7 100 000,8 300 000,9 400 000,10 700 000,11 900 000,12 900 000,14 100 000
