Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Niger,7 ,6 , 8,11 ,9 , 12,15 ,13 , 17,13 ,11 , 15,16 ,14 , 19,24 ,21 , 29,29 ,24 , 35,39 ,33 , 47,42 ,36 , 50,42 ,36 , 51
Nigeria,11 ,7 , 17,15 ,10 , 23,19 ,12 , 29,21 ,14 , 32,24 ,16 , 37,28 ,18 , 43,32 ,21 , 49,33 ,21 , 50,34 ,22 , 51,36 ,23 , 55
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Pakistan,3 ,3 , 4,2 ,2 , 3,3 ,3 , 4,4 ,3 , 4,4 ,3 , 4,7 ,6 , 8,7 ,6 , 9,9 ,8 , 10,11 ,10 , 13,31 ,27 , 35
Panama,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Papua New Guinea,18 ,15 , 21,21 ,17 , 24,25 ,21 , 29,29 ,24 , 34,34 ,27 , 40,37 ,30 , 44,39 ,31 , 47,41 ,33 , 49,45 ,35 , 54,49 ,37 , 58
Paraguay,24 ,17 , 32,39 ,27 , 52,42 ,29 , 58,46 ,32 , 65,45 ,30 , 64,43 ,28 , 62,48 ,32 , 72,50 ,33 , 79,49 ,33 , 78,52 ,35 , 83
Peru,32 ,28 , 38,32 ,28 , 38,34 ,30 , 40,44 ,39 , 52,49 ,43 , 58,56 ,49 , 67,47 ,41 , 56,50 ,43 , 60,57 ,48 , 69,65 ,54 , 79
