Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Guinea-Bissau,<1000 ,<1000 , <1000,<1000 ,<1000 , 1000,1000 ,<1000 , 1200,1200 ,<1000 , 1400,1100 ,<1000 , 1200,1000 ,<1000 , 1200,1100 ,<1000 , 1300,1200 ,1000 , 1500,1200 ,<1000 , 1500,1200 ,1000 , 1500
Guyana,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Haiti,5300 ,4400 , 6400,4900 ,4100 , 5900,4700 ,4000 , 5700,4900 ,4200 , 5800,5300 ,4500 , 6300,5500 ,4500 , 6500,5500 ,4500 , 6500,5800 ,4700 , 7000,6100 ,4800 , 7500,6000 ,4600 , 7300
Honduras,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1400,1100 ,<1000 , 1700,1200 ,<1000 , 2000,1300 ,<1000 , 2400,1400 ,<1000 , 2800,1300 ,<1000 , 3000
Ireland,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,4500 ,2900 , 9300,4700 ,2900 , 9900,4700 ,2800 , 10 000,4800 ,2900 , 11 000,4800 ,2900 , 11 000,4700 ,2700 , 10 000,4600 ,2700 , 11 000,4500 ,2500 , 10 000,4300 ,2400 , 10 000,4200 ,2300 , 9500
Jamaica,1000 ,<1000 , 1800,1000 ,<1000 , 1800,1000 ,<1000 , 1800,1100 ,<1000 , 1900,1100 ,<1000 , 1900,1100 ,<1000 , 2000,1100 ,<1000 , 2000,1100 ,<1000 , 2000,1100 ,<1000 , 2000,1100 ,<1000 , 1900
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,1200 ,<1000 , 1500
Kenya,60 000 ,44 000 , 88 000,64 000 ,47 000 , 93 000,68 000 ,50 000 , 99 000,70 000 ,52 000 , 100 000,70 000 ,52 000 , 100 000,71 000 ,52 000 , 100 000,74 000 ,55 000 , 110 000,76 000 ,56 000 , 110 000,77 000 ,57 000 , 110 000,79 000 ,58 000 , 120 000
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<200 , <200,<200 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500
Lao People's Democratic Republic,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Latvia,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Lebanon,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500
