Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Trinidad and Tobago,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,32 ,21 , 45
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uganda,87 ,83 , 95,89 ,84 , >95,91 ,86 , >95,92 ,86 , >95,93 ,87 , >95
Ukraine,66 ,62 , 70,68 ,64 , 73,71 ,66 , 76,71 ,66 , 76,70 ,65 , 75
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Republic of Tanzania,69 ,62 , 75,74 ,67 , 81,80 ,72 , 86,83 ,75 , 89,85 ,78 , 92
United States,88 ,72 , >95,89 ,72 , >95,89 ,73 , >95,90 ,73 , >95,... ,... , ...
Uruguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uzbekistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,... ,... , ...,46 ,37 , 55,49 ,39 , 59
Viet Nam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Yemen,... ,... , ...,... ,... , ...,... ,... , ...,36 ,24 , 56,... ,... , ...
Zambia,82 ,77 , 89,85 ,80 , 91,88 ,82 , 94,90 ,85 , >95,93 ,88 , >95
Zimbabwe,87 ,76 , >95,90 ,78 , >95,92 ,80 , >95,92 ,81 , >95,95 ,83 , >95
Global,77 ,66,89,80 ,68,92,83 ,70,>95,85 ,72,>95,86 ,74,>95
