States,2019,2019_lower, 2019_upper
Mtwara Mikindani MC,14.6 ,10.4 , 20.1
Mufindi DC,9.6 ,7.1 , 13.0
Muheza DC,0.8 ,0.5 , 1.3
Muleba DC,3.3 ,1.5 , 5.8
Musoma DC,0.7 ,0.3 , 1.6
Musoma MC,7.9 ,4.7 , 11.7
Mvomero DC,4.4 ,2.3 , 8.0
Mwanga DC,3.2 ,2.8 , 3.8
Nachingwea DC,3.2 ,1.0 , 8.1
Namtumbo DC,1.1 ,1.0 , 1.3
Nanyamba TC,21.6 ,18.3 , 25.2
Nanyumbu DC,4.7 ,1.2 , 12.2
Newala DC,5.4 ,1.7 , 13.7
Newala TC,8.2 ,2.5 , 19.1
Ngara DC,1.7 ,0.6 , 4.1
Ngorongoro DC,10.7 ,6.7 , 16.4
Njombe DC,11.8 ,8.6 , 17.9
Njombe TC,6.6 ,3.8 , 11.1
Nkasi DC,5.3 ,3.5 , 7.5
Nsimbo DC,3.0 ,1.9 , 4.6
Nyamagana MC,7.0 ,4.3 , 10.2
Nyang'hwale DC,11.5 ,8.2 , 15.4
Nyasa DC,6.3 ,4.4 , 9.0
Nzega DC,3.3 ,2.2 , 4.8
Nzega TC,15.7 ,8.1 , 25.5
Pangani DC,14.5 ,13.4 , 16.1
Rombo DC,5.4 ,4.3 , 6.6
Rorya DC,5.3 ,2.5 , 9.8
Ruangwa DC,8.5 ,4.7 , 13.6
Rufiji DC,23.9 ,6.4 , 51.4
Rungwe DC,11.8 ,7.3 , 18.2
Same DC,3.6 ,1.5 , 7.1
Sengerema DC,1.3 ,0.5 , 3.0
Serengeti DC,2.7 ,1.2 , 5.4
Shinyanga DC,3.3 ,2.4 , 4.5
Shinyanga MC,7.2 ,4.7 , 10.8
Siha DC,14.2 ,6.8 , 25.0
Sikonge DC,3.6 ,1.4 , 7.9
Simanjiro DC,5.7 ,3.6 , 9.2
Singida DC,5.5 ,3.2 , 8.5
Singida MC,10.3 ,7.0 , 14.7
Songea DC,7.2 ,4.9 , 10.1
Songea MC,9.2 ,7.1 , 11.3
Songwe DC,8.6 ,5.0 , 14.0
Sumbawanga DC,3.7 ,2.7 , 5.0
Sumbawanga MC,4.7 ,3.0 , 7.4
Tabora MC,4.7 ,2.7 , 8.1
Tandahimba DC,3.3 ,0.9 , 9.9
Tanga CC,6.9 ,4.3 , 10.2
Tarime DC,0.8 ,0.2 , 2.4
Tarime TC,1.3 ,0.8 , 2.1
Temeke MC,3.4 ,2.0 , 5.6
Tunduma TC,3.6 ,1.2 , 8.4
Tunduru DC,3.5 ,2.0 , 5.9
Ubungo MC,4.2 ,2.2 , 7.5
Ukerewe DC,2.7 ,0.9 , 6.4
Ulanga DC,10.3 ,5.7 , 17.7
Urambo DC,10.6 ,8.4 , 13.6
Ushetu DC,11.5 ,9.8 , 13.9
Uvinza DC,2.9 ,1.2 , 5.8
Uyui DC,3.2 ,1.8 , 5.4
Wanging'ombe DC,15.7 ,12.8 , 19.2
Wete,2.1 ,1.2 , 3.5
National,6.0 ,5.3,6.7
