,country,province,lat,lng
56,Uganda,Kassanda,0.5761442999999999,31.7195459
57,Uganda,Katakwi,1.9141618,33.9582783
58,Uganda,Kayunga,0.9860182000000001,32.85357550000001
59,Uganda,Kazo,-0.051128,30.7565467
60,Uganda,Kibaale,0.7682547,31.0776593
61,Uganda,Kiboga,0.9657589999999998,31.7195459
62,Uganda,Kibuku,1.0452874,33.7992536
63,Uganda,Kikuube,,
64,Uganda,Kiruhura,-0.196398,30.84425
65,Uganda,Kiryandongo,1.9530448,32.1391217
66,Uganda,Kisoro,-1.2834307,29.6904746
67,Uganda,Kitagwenda,-0.0322229,30.29741989999999
68,Uganda,Kitgum,3.2884847,32.8789499
69,Uganda,Koboko,3.4167992,30.9589496
70,Uganda,Kole,2.3701097,32.7633036
71,Uganda,Kotido,3.0062022,34.1114621
72,Uganda,Kumi,1.4856295,33.9331874
73,Uganda,Kwania,1.9033098,32.7633036
74,Uganda,Kween,1.443879,34.59713199999999
75,Uganda,Kyankwanzi,1.2061176,31.8164031
76,Uganda,Kyegegwa,0.4818193,31.0550093
77,Uganda,Kyenjojo,0.6092923,30.6401231
78,Uganda,Kyotera,-0.6358988,31.5455637
79,Uganda,Lamwo,3.5707568,32.5372741
80,Uganda,Lira,2.2580829,32.8874067
81,Uganda,Luuka,0.7250599,33.3037143
82,Uganda,Luwero,0.8404086,32.497668
83,Uganda,Lwengo,-0.4165288,31.3998995
84,Uganda,Lyantonde,-0.4075041,31.1567203
85,Uganda,Madi Okollo,2.8218482,31.2168466
86,Uganda,Manafwa,0.9063599,34.28660910000001
87,Uganda,Maracha,3.2873127,30.9403023
88,Uganda,Masaka,-0.3267383,31.7537404
89,Uganda,Masindi,1.6873134,31.7138458
90,Uganda,Mayuge,-0.2182982,33.5728027
91,Uganda,Mbale,1.0784436,34.1810057
92,Uganda,Mbarara,-0.6071596,30.6545022
93,Uganda,Mitooma,-0.6193276,30.0202964
94,Uganda,Mityana,0.4016398,32.043969
95,Uganda,Moroto,2.5282234,34.6579985
96,Uganda,Moyo,3.6527376,31.7280955
97,Uganda,Mpigi,0.2273528,32.3249236
98,Uganda,Mubende,0.5539012999999999,31.3884671
99,Uganda,Mukono,0.3548655,32.7520139
100,Uganda,Nabilatuk,2.054374,34.565571
101,Uganda,Nakapiripirit,1.9606173,34.59713199999999
102,Uganda,Nakaseke,1.2230848,32.0837445
103,Uganda,Nakasongola,1.3489721,32.4467238
104,Uganda,Namayingo,-0.2803575,33.75177230000001
105,Uganda,Namisindwa,0.8697345999999999,34.365795
106,Uganda,Namutumba,0.8360898,33.6860965
107,Uganda,Napak,2.3629945,34.2421597
108,Uganda,Nebbi,2.4409392,31.3541631
109,Uganda,Ngora,1.4908115,33.75177230000001
110,Uganda,Ntoroko,1.0788178,30.3896651
111,Uganda,Ntungamo,-0.8750755,30.2656955
112,Uganda,Nwoya,2.6350854,32.0027577
113,Uganda,Obongi,3.2412105,31.5512722
114,Uganda,Omoro,2.715223,32.4920088
115,Uganda,Otuke,2.5214059,33.3486147
116,Uganda,Oyam,2.2776281,32.4467238
117,Uganda,Pader,2.8819678,33.0859343
118,Uganda,Pakwach,2.4607141,31.4941738
119,Uganda,Pallisa,1.1706966,33.7098569
120,Uganda,Rakai,-0.7069135,31.5370003
121,Uganda,Rubanda,-1.186119,29.8453576
122,Uganda,Rubirizi,-0.264241,30.1084033
123,Uganda,Rukiga,-1.1326337,30.043412
